Country,People
Afghanistan,1168
Angola,5
Armenia,31
Azerbaijan,19
Bangladesh,3
Belarus,102
Bhutan,5764
Burma,17483
Burundi,1208
Cambodia,1
Cameroon,8
Central African Republic,108
Chad,6
China,33
Colombia,433
Congo,22
Croatia,1
Cuba,1060
Dem. Rep. Congo,8206
Djibouti,2
Ecuador,1
Egypt,11
El Salvador,11
Equatorial Guinea,2
Eritrea,1783
Ethiopia,682
Gambia,3
Georgia,12
Guinea,2
India,1
Indonesia,9
Iran,3121
Iraq,10169
Ivory Coast,41
Jamaica,1
Jordan,4
Kazakhstan,58
Kenya,2
"Korea, North",14
Kuwait,2
Kyrgyzstan,8
Liberia,11
Malaysia,1
Mali,8
Moldova,259
Namibia,1
Nepal,37
Netherlands,1
Nigeria,3
Nigeria,3
Pakistan,205
Palestine,79
Republic of South Sudan,113
Russia,292
Rwanda,197
Saudi Arabia,5
Senegal,7
Sierra Leone,2
Somalia,7779
South Africa,2
Sri Lanka (Ceylon),86
Sudan,1688
Syria,2192
Tajikistan,15
Thailand,3
Togo,5
Tunisia,7
Turkey,2
Turkmenistan,5
Uganda,66
Ukraine,1760
Uzbekistan,34
Vietnam,39
Yemen,8
Zimbabwe,5
