Religion,Numbers
Ahmadiyya,61
Animist,353
Atheist,38
Bahai,504
Baptist,1930
Buddhist,3606
Catholic,3740
Chaldean,97
Coptic,1
Evangelical Christian,196
Greek Orthodox,1
Hindu,2307
Jehovah Witness,547
Jewish,173
Kaaka'i,19
Kirat,852
Lutheran,11
Methodist,372
Moslem,14128
Moslem Ismaici,5
Moslem Shiite,4373
Moslem Suni,8069
No Religion,510
Orthodox,1401
Other Religion,112
Pentecostalist,4200
Protestant,2585
Sabeans-Mandean,288
Seventh Day Adventist,1386
Ukr Orthodox,7
Uniate,54
Unknown,13
Yazidi,205
Zoroastrian,195
